Name,Cuisine,Location,Service Method,Does Curbside Pick-Up?,Address,City,Zip Code,Region,Hours,Phone,Website,details
Mago,American,Piedmont (Oak),Delivery & Takeout,No,3762 Piedmont Ave.,Oakland,N/A,East Bay,Noon-8 p.m. daily,510-344-7214,www.magorestaurant.com/menus/,A la carte plus whole family dinner for $45. Call for pick-up or get delivery on Caviar.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Magpie Taproom,American,Mosswood (Oak),Takeout,No,375 40th St.,Oakland,N/A,East Bay,Noon-8 p.m. daily,510-788-4698,www.magpieoakland.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Mahila,Malaysian,Noe Valley (S.F.),Takeout,No,1320 Castro St.,San Francisco,N/A,San Francisco,6-9 p.m. Friday and Saturday,628-867-3570,www.azalinas.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Maison Alyzee,Bakery,Mountain View,Delivery & Takeout,No,212 Castro St.,Mountain View,N/A,Peninsula,8 a.m.-1:30 p.m. daily,650-960-1212,www.maisonalyzee.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Maison Danel,French,Polk Gulch (S.F.),Delivery & Takeout,No,1030 Polk St.,San Francisco,N/A,San Francisco,8 a.m.-3 p.m. Tuesday-Sunday,415-685-5900,www.maisondanel.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Mama Ji’s,Chinese,Castro (S.F.),Delivery & Takeout,No,4416 18th St.,San Francisco,N/A,San Francisco,"11:30 a.m.-2:30 p.m., 5:30-9 p.m. Monday-Friday; 10:30 a.m.-2:30 p.m., 5-9:30 Saturday and Sunday",415-626-4416,www.mamajissf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Mangrove Kitchen,Thai,Lower Haight (S.F.),Takeout,No,312 Divisadero St.,san Francisco,N/A,San Francisco,"11 a.m.-3 p.m., 5-10 p.m. daily",415-552-6881,www.mangrovethaikitchen.com,Pre-order with the Beyond Menu app.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Manresa,American,Los Gatos,Takeout,No,320 Village Ln.,Los Gatos,N/A,South Bay,4:30-7:30 p.m. Wednesday-Sunday,408-354 4330,www.exploretock.com/manresa/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Marcello’s Pizza,"Pizza, sandwiches",Castro (S.F.),Delivery & Takeout,No,420 Castro St.,San Francisco,N/A,San Francisco,Lunch and dinner daily,415-863-3900,www.marcellospizza420.com,Call for free delivery.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Marche aux Fleurs,French,Ross,Delivery & Takeout,Yes,23 Ross Common,Ross,N/A,North Bay,4:30-7:30 p.m. Tuesday-Saturday,415-925-9200,www.marcheauxfleursrestaurant.com/,Call after 4 p.m. to order.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Mardini's Deli,Deli,Menlo Park,Delivery & Takeout,No,408 Willow Rd.,Menlo Park,N/A,Peninsula,9 a.m.-9 p.m.Monday-Saturday; 9 a.m.-8 p.m. Sunday,650-324-4316,www.mardinisdeli.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Mare Island Brewing Co.,American,Vallejo,Takeout,Yes,289 Mare Island Way,Vallejo,N/A,East Bay,Noon-7 p.m. Monday-Sunday,707556-3000,www.mareislandbrewingco.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Marie Callender’s,American,San Jose,Takeout,No,620 Blossom Hill Rd.,San Jose,N/A,South Bay,"Breakfast, lunch and dinner daily",408-578-0643,www.mariecallenders.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Marnee Thai,Thai,Sunset (S.F.),Takeout,No,1243 9th Ave.,San Francisco,N/A,San Francisco,4:30-9 p.m. Monday-Friday; 11 a.m.-9 p.m. Saturday and Sunday,415-731-9999,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Mars Bar and Restaurant,American,SoMa (S.F.),Delivery & Takeout,Yes,798 Brannan St.,San Francisco,N/A,San Francisco,Noon-7 p.m. Monday-Sunday,415-621-6277,www.marsbarsf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Marufuku Ramen,Japanese,Japantown (S.F.),Delivery & Takeout,No,"1581 Webster St., Ste. 235",San Francisco,N/A,San Francisco,"11:30 a.m.-2 p.m., 5:30-10 p.m. daily",415-872-9786⁣,www.marufukuramen.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Marzano,"Italian, Pizza",Oakland,Takeout,No,4214 Park Blvd.,Oakland,N/A,East Bay,5-8:30 p.m. Monday-Saturday; 5-8 p.m. Sunday,510-479-1448,www.marzanorestaurant.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Mastro's Steakhouse San Francisco,American,Tenderloin (S.F),Takeout,Yes,"399 Geary St. (yes, we are boarded on Geary to protect from looting but gueSt.s can loop onto Mason - facing O'Farrell - at our side door!)",San Francisco,N/A,San Francisco,3-8 p.m. daily,415-363-9539,www.bit.ly/2U3hfDN,Curbside pick-up on Mason St.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Matching Half,Bakery,Western Addition (S.F.),Takeout,No,1799 McAllister St.,San Francisco,N/A,San Francisco,7:30 a.m.-2:30 p.m. daily,N/A,www.matchinghalfcafe.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Maven,American,Lower Haight (S.F.),Takeout,Yes,598 Haight St.,San Francisco,N/A,San Francisco,5-9 p.m. Monday-Saturday,415-829-7982,www.maven-sf.com,Order by phone or DM with Maven SF on Facebook,https://projects.sfchronicle.com/2020/restaurant-delivery/
Mayfield,American,Palo Alto,Delivery & Takeout,No,855 El Camino Real,Palo Alto,N/A,Peninsula,4-8 p.m. daily,650-853-9200,www.mayfieldbakery.com,"Special nightly menu on DoorDash, offering delivery and pick-up.",https://projects.sfchronicle.com/2020/restaurant-delivery/
Mazzetti’s Bakery,Bakery,Pacifica,Takeout,No,101 Manor Dr.,Pacifica,N/A,Peninsula,6 a.m.-6 p.m. daily,650-355-1007,www.mazzettisbakery.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
McDonald's,American,Palo Alto,Takeout,No,660 Stanford Shopping Center,Palo Alto,N/A,Peninsula,9 a.m.-6 p.m. daily,650-327-0560,www.mcdonalds.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Media Noche,Cuban,Mission (S.F.),Delivery & Takeout,Yes,3465 19th St.,San Francisco,N/A,San Francisco,11:30 a.m.-8 p.m. daily,415-655-3904,www.medianochesf.com,"Order online through the website for customer pick-up, order in-house for takeout.",https://projects.sfchronicle.com/2020/restaurant-delivery/
Mediterranean Kitchen,"Turkish, Greek, Middle Eastern",Burlingame,Delivery & Takeout,Yes,207 Lorton Ave.,Burlingame,N/A,Peninsula,11:15 a.m.-8:15 p.m.Monday-Sunday,650-347-7687,www.mkburlingame.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Mel's Drive-In,American,Cow Hollow (S.F.),Takeout,No,2165 Lombard St.,San Francisco,N/A,San Francisco,8:30 a.m.-11 p.m. daily,415-921-2867,www.melsdrive-in.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Memphis Minnie's,Barbecue,Lower Haight (S.F.),Delivery & Takeout,No,576 Haight St.,San Francisco,N/A,San Francisco,"11 a.m.-10 p.m. Monday-Saturday, 11 a.m.-9 p.m. Sunday",415-864-7675,www.memphisminnies.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Mendocino Farms,Sandwiches,San Jose,Takeout,No,3090 Olsen Dr. #150,San Jose,N/A,South Bay,11 a.m.-9 p.m. daily,408-207-1390,www.mendocinofarms.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Mescolanza,Italian,Inner Richmond (S.F.),Delivery & Takeout,No,3750 Geary Blvd.,San Francisco,N/A,San Francisco,5-9:30 p.m. daily,415-668-2221,www.mescolanza.net,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Meso Modern Mediterranean,Mediterranean,San Jose,Delivery & Takeout,No,3060 Olsen Dr. Ste. 50,San Jose,N/A,South Bay,Noon-8 p.m. daily,408-800-0048,www.mesorestaurant.com,"Also offering pick-up and delivery orders from Left Bank, Meso, and LB Steak, all from the LB Steak location.",https://projects.sfchronicle.com/2020/restaurant-delivery/
Mexico Tipico,Mexican,Excelsior (S.F.),Takeout,No,4581 Mission St.,San Francisco,N/A,San Francisco,8 a.m.-7 p.m. daily,415-337-7562,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Meyhouse,"Turkish, Mediterranean, Middle Eastern",Sunnyvale,Delivery & Takeout,No,133 South Murphy Ave.,Sunnyvale,N/A,South Bay,Noon-7 p.m. Tuesday-Sunday,408-685-2255,www.meyhousefood.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Milagros,Mexican,Redwood City,Delivery & Takeout,No,1099 Middlefield Rd,Redwood City,N/A,Peninsula,4-8 p.m. daily,650-369-4730,www.milagrosrc.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Milk & Cookie Bar,Ice Cream,Castro Valley,Delivery & Takeout,No,18911 Lake Chabo Rd.,Castro Valley,N/A,East Bay,Noon-5 p.m. Saturday,510-397-0189,www.milkandcookiebar.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
MINA Family Kitchen,Global,Financial District (S.F.),Delivery & Takeout,Yes,101 California St.,San Francisco,N/A,San Francisco,"Noon-4 p.m. lunch, 4-8 p.m. dinner Monday-Saturday",415-668-7228,www.michaelmina.net/delivery/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Minato,Japanese,San Jose,Takeout,No,617 North 6th St.,San Jose,N/A,South Bay,"11:15 a.m.-1:45 p.m., 5-8:30 p.m. Tuesday-Saturday",408-998-9711,www.facebook.com/MinatoRestaurant/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Minnie Bell's,Southern,Emeryville,Delivery & Takeout,No,"5959 Shellmound St., Ste. 3",Emeryville,N/A,East Bay,11 a.m.-3 p.m. Saturday and Sunday,510-879-7199,http://minniebells.square.site/#vUfktJ,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Mint Leaf,Vietnamese,Alameda,Takeout,No,831 Marina Village Parkway,Alameda,N/A,East Bay,"11:30 a.m.-3 p.m., 4:30-8 p.m Monday-Friday;11:30 a.m.-8 p.m. Saturday and Sunday",510-522-2758,www.mintleafvr.com/Alameda.html,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Misfits Bakehouse,Bakery,Palo Alto,Delivery & Takeout,No,2706 Middlefield Rd.,Palo Alto,N/A,Peninsula,10 a.m-3 p.m. daily,650-690-5073,www.misfits.kitchen/store,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Mistura,Peruvian,Oakland,Delivery & Takeout,No,3858 Piedmont Ave.,Oakland,N/A,East Bay,Lunch and dinner Tuesday-Saturday,510-652-1439,www.misturapiedmont.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Mitama,Japanese,Berkeley,Delivery & Takeout,Yes,3201 College Ave.,Berkeley,N/A,East Bay,11 a.m.-8 p.m. daily,510-652-6157,www.mitamasushi.com/,Contact-free delivery available,https://projects.sfchronicle.com/2020/restaurant-delivery/
Mix't,Salad,Pacific Heights (S.F.),Delivery & Takeout,No,2299 Broadway,Oakland,N/A,East Bay,10:30 a.m-9 p.m. Monday-Friday; 11 a.m.-9 p.m. Saturday and Sunday,415-296-8009,www.mixt.com/menu/oakland/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Mochica,Peruvian,Potrero Hill (S.F.),Delivery & Takeout,No,1469 18th St.,San Francisco,N/A,San Francisco,Noon-8 p.m. daily,415-278-0480,www.mochicasf.com/order-online/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Mochill Donuts,Donuts,Japantown (S.F.),Takeout,No,"1737 Post St, Ste. 395",San Francisco,N/A,San Francisco,12-5 p.m. daily,N/A,www.mochillsf.com/,Email TAISUKEY46@GMAIL.COM for pick-up.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Momoya Sushi,Japanese,Mountain View,Takeout,No,570J North Shoreline Blvd.,Mountain View,N/A,Peninsula,"11:30 a.m.-2 p.m., 5-8 p.m. Monday-Friday; 5-8 p.m., Saturday",650-967-6166,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Mộng Thu,Vietnamese,Tenderloin (S.F.),Takeout,No,248 Hyde St.,San Francisco,N/A,San Francisco,7 a.m.-4 p.m. Tuesday-Sunday,415-928-6724,www.mongthu.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
"Monifa Dayo, The Supperclub","SeneGambian, Californian",Oakland,Delivery & Takeout,No,1146 McKinley Ave. #7,Oakland,N/A,East Bay,4-8 p.m. daily,510-712-2291,www.monifadayo.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Monk's Kettle,American,Mission (S.F.),Delivery & Takeout,No,3141 16th St.,San Francisco,N/A,San Francisco,1-10 p.m. daily,415-865-9523,www.monkskettle.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Monster Pho,Vietnamese,Emeryville,Delivery & Takeout,Yes,3900 Adeline St.,Emeryville,N/A,East Bay,11 a.m.-9 p.m. Wednesday-Monday,510-350-8531,www.monsterpho.com,Call for curbside pick-up.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Monster Pho,Vietnamese,Oakland,Delivery & Takeout,Yes,3905 Broadway,Oakland,N/A,East Bay,Lunch and dinner Wednesday-Monday,510-788-4459,www.monsterpho.com,Call for curbside pick-up.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Montesacro Pinseria,Italian,SoMa (S.F.),Delivery & Takeout,No,510 Stevenson St.,San Francisco,N/A,San Francisco,"11:30 a.m.-2:30 p.m., 4-11 p.m. Monday-Saturday; 11:30 a.m.-2:30 p.m., 4-9:30 p.m. Sunday",415-795-3040,www.montesacrosf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Moonlight Cafe,"Breakfast, Crepes",Bernal Heights (S.F.),Takeout,No,634 Cortland Ave.,San Francisco,N/A,San Francisco,8 a.m.-2 p.m. daily,650-922-6743,www.ubereats.com/san-francisco/food-delivery/moonlight-cafe/21EAO-nDThi9rmkUCFxJbg,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Moonside Bakery and Cafe,"American, Pizza",Half Moon Bay,Takeout,Yes,604 Main St.,Half Moon Bay,N/A,Peninsula,8 a.m.-3 p.m. daily,650-726-9070,www.moonsidebakery.com,Curbside pick-up available.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Moshi Moshi,Sushi,Dogpatch,Takeout,No,2092 3rd St.,San Francisco,N/A,San Francisco,5-8 p.m. Monday-Saturday,415-861-8285,www.moshimoshisf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Mourad,Moroccan,SoMa,Takeout,No,140 New Montgomery St. #1,San Francisco,N/A,San Francisco,4-9 p.m. daily,415-660-2500,www.mouradsf.com,Special Mourad/Aziza takeout menu available.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Moussaka,Mediterranean,San Leandro,Delivery & Takeout,No,599 Dutton Ave.,San Leandro,N/A,San Leandro,"11 a.m.-3 p.m., 5-9 p.m. Monday-Thursday; 10 a.m.-3 p.m., 5-9 p.m. Friday and Saturday",510-850-5020,www.moussakakitchen.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Mozzeria,Pizza,Mission (S.F.),Delivery & Takeout,No,3228 16th St.,San Francisco,N/A,San Francisco,"10:30 a.m.-2 p.m. Tuesday-Friday; 5:30-9 p.m. Tuesday, Wednesday Thursday; 5-10:30 p.m. Friday and Saturday; 5-9:30 p.m. Sunday",415-489-0963,www.mozzeria.com/delivery,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Mr. Holmes Bakehouse,Bakery,Lower Nob Hill (S.F.),Delivery,Yes,1042 Larkin St.,San Francisco,N/A,San Francisco,Call for hours,415-829-7700,www.mrholmesbakehouse.com,Bread starter kits and take-and-bake cookies available.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Mua,American,Oakland,Takeout,No,2442a Webster St.,Oakland,N/A,East Bay,Dinner daily,510-238-1100,www.muaoakland.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Mustards Grill,American,Napa,Takeout,No,7399 St. Helena Highway,Yountville,N/A,North Bay,11:30 a.m.-6 p.m. daily,707-944-2424,www.mustardsgrill.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
My Father's Kitchen,Vietnamese,Lower Pacific Heights (S.F.),Takeout,No,1655 Divisadero St.,San Francisco,N/A,San Francisco,9 a.m.-5 p.m. Monday-Friday,415-829-2610,www.myfatherskitchensf.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Nabe,Japanese,Cow Hollow (S.F.),Takeout,No,2151 Lombard St.,San Francisco,N/A,San Francisco,5-7 p.m. Saturday and Sunday,N/A,www.nabesf.com,Text or email info@nabesf.com for pre-orders.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Nabolom Bakery,"Bakery, Pizza",Berkeley,Takeout,No,2708 Russell St.,berkeley,N/A,East Bay,8 a.m.-7 p.m. Wednesday-Saturday; 8 a.m.-2 p.m. Sunday,510-845-2253,www.nabolombakery.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Nam Vietnamese Brasserie,Vietnamese,Redwood City,Delivery & Takeout,Yes,917 Main St.,Redwood City,N/A,Peninsula,5:30-9 p.m. Tuesday-Saturday,650-393-5515,www.nambrasserie.com,Call for curbside pick-up.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Nama Japanese,Japanese,Oakland,Delivery & Takeout,No,3400 Fruitvale Ave.,Oakland,N/A,East Bay,"11:30 a.m.-2:30 p.m., 5-8:30 p.m. daily",510-530-8564,www.namadimond.blogspot.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Namu Stonepot,Korean,Mission Dolores (S.F.),Delivery & Takeout,No,499 Dolores St.,San Francisco,N/A,San Francisco,10:30 a.m.-9 p.m. daily,415-431-6268,www.namusf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Namu Stonepot,Korean,NoPa (S.F.),Delivery & Takeout,No,553 Divisadero St.,San Francisco,N/A,San Francisco,10:30 a.m.-9 p.m. Tuesday-Sunday,415-926-8065,www.namusf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Nande-Ya,Japanese,Japantown (S.F.),Delivery & Takeout,No,"1737 Post St., #375",San Francisco,N/A,San Francisco,11:30 a.m.-4 p.m. daily,628-444-3580,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Nari,Thai,Japantown (S.F.),Takeout,No,1625 Post St.,San Francisco,N/A,San Francisco,Noon-6 p.m. daily,415-868-6274,www.narisf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Nation's Giant Hamburgers,American,Alameda,Takeout,No,1432 Webster St.,Alameda,N/A,East Bay,6 a.m.-1 a.m. daily,510-521-8888,www.nationsrestaurants.com/,Call first.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Nature Vegetarian Restaurant,"Chinese, Vegetarian",Downtown Oakland,Takeout,No,1116 Franklin St.,Oakland,N/A,East Bay,11 a.m.-8 p.m. daily,510-238-9688,www.naturevegetarianoakland.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
New England Lobster,Seafood,Lafayette,Delivery & Takeout,No,824 Cowan Rd.,Lafayette,N/A,East Bay,Noon-8 p.m. daily,925-872-6686,www.newenglandlobster.net/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
New England Lobster Market and Eatery,Seafood,Burlingame,Delivery,Yes,824 Cowan Rd.,Burlingame,N/A,Peninsula,10 a.m.-8 p.m. daily,650-443-1559,www.newenglandlobster.net,Drive-thru available.,https://projects.sfchronicle.com/2020/restaurant-delivery/
New Golden Daisy BBQ,Chinese,Chinatown (S.F.),Takeout,No,1041 Stockton St.,San Francisco,N/A,San Francisco,7:30 a.m.-5:45 p.m. daily,415-392-0111,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Newa,"Nepalese, Indian",Tenderloin (S.F.),Delivery & Takeout,No,407 Ellis St.,San Francisco,N/A,San Francisco,11 a.m.-10 p.m. Monday-Sunday,415-447-3876,http://newa.ordersnapp.com/home,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Nick's Crispy Tacos,Mexican,Russian Hill (S.F.),Delivery & Takeout,Yes,1500 Broadway St.,San Francisco,N/A,San Francisco,11:30 a.m.-9 p.m. Monday-Sunday,415-409-8226,www.nickscrispytacos.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Nido's Backyard,Mexican,Oakland,Delivery & Takeout,No,104 Oak St.,Oakland,N/A,East Bay,11 a.m.-8 p.m. Tuesday-Sunday,510-500-9757,www.backyardoakland.com/,"Call ahead for pick-up or use Caviar, DoorDash or GrubHub for delivery.",https://projects.sfchronicle.com/2020/restaurant-delivery/
Niles Pie Co.,Bakery,Union City,Delivery & Takeout,No,32990 Alvarado-Niles Rd. #960,Union City,N/A,East Bay,7:30 a.m.-7 p.m. Monday-Friday; 8 a.m.-4 p.m. Saturday,510-324-4743,www.nilespie.com/collections/current-menu,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Noah's Bagels,Bakery,Financial District (S.F.),Delivery & Takeout,Yes,"100 Bush St., Ste. 102",San Francisco,N/A,San Francisco,5 a.m.-1 p.m. Monday-Friday; 6 a.m.-1 p.m. Saturday,415-433-9682,www.noahs.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Noe Valley Bakery,Bakery,West Portal (S.F),Takeout,Yes,28 West Portal Ave.,San Francisco,N/A,San Francisco,7 a.m.-3 p.m. daily,415-592-8785,www.noevalleybakery.com,Order online with 72 hour notice or call.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Noe Valley Bakery,Bakery,Noe Valley (S.F.),Takeout,No,4073 24th St.,San Francisco,N/A,San Francisco,7 a.m.-7 p.m. Monday-Friday; 7 a.m.-6 p.m. Saturday and Sunday,415-550-1405,www.noevalleybakery.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Nom Burger,Burgers,Sunnyvale,Delivery & Takeout,No,251 West Washington Ave.,Sunnyvale,N/A,South Bay,11 a.m.-8:30 p.m. daily,408-720-8880,www.nom-burger.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Nom Nom Banh Mi,Vietnamese,Berkeley,Takeout,No,2491 Telegraph Ave.,Berkeley,N/A,East Bay,11 a.m.-7 p.m. Monday-Saturday,510-984-0957,www.nomnombanhmi.store/index.html,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Noodles and Things,Chinese,Millbrae,Delivery & Takeout,No,447 Broadway,Millbrae,N/A,Peninsula,11 a.m.-11 p.m. daily,650-651-7105,www.noodlesandthings.co/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Noodles and Things,Chinese,San Mateo,Delivery & Takeout,No,79 E. 3rd Ave.,San Mateo,N/A,Peninsula,11 a.m.-1 a.m. daily,650-393-5799,www.noodlesandthings.co/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Noodles Pho Me,Laotian,San Leandro,Takeout,No,377 Bancroft Ave.,San Leandro,N/A,East Bay,11 a.m.-6 p.m. Thursday-Tuesday,510-850-5080,www.noodlesphome.net/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Nopa,American,NoPa (S.F.),Takeout,No,560 Divisadero St.,San Francisco,N/A,San Francisco,2 p.m. until sold out daily,415-864-8643,www.nopasf.com,Menu items and pantry essentials available.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Nopalito,Mexican,Haight-Ashbury (S.F.),Takeout,No,306 Broderick St.,San Francisco,N/A,San Francisco,11:30 a.m.-10 p.m. daily,415-300-0029,www.nopalitosf.com/,"Heat-and-eat meal kits, alcohol and a la carte menu items.",https://projects.sfchronicle.com/2020/restaurant-delivery/
North Beach Gyros,Mediterranean,North Beach (S.F.),Delivery & Takeout,No,561 Columbus Ave.,San Francisco,N/A,San Francisco,10:30 a.m.-10 p.m. daily,415-655-9649,sfnorthbeachgyros.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
North Beach Pizza,Pizza,North Beach (S.F.),Delivery,No,1462 Grant Ave.,San Francisco,N/A,San Francisco,Call for hours,415-433-2444,www.northbeachpizza.com/#location,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Nourish Cafe,"American, Vegetarian",Nob Hill (S.F.),Delivery & Takeout,No,1030 Hyde St.,San Francisco,N/A,San Francisco,8 a.m.-8 p.m. Monday-Thursday; 8 a.m.-3 p.m. Friday-Sunday,415-580-7463,www.nourishcafesf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Nourish Cafe,"American, Vegetarian",Richmond (S.F.),Delivery & Takeout,No,189 6th Ave.,San Francisco,N/A,San Francisco,8 a.m.-8 p.m. Monday-Thursday; 8 a.m.-3 p.m. Friday-Sunday,415-571-8780,www.nourishcafesf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Number5kitchen,American,San Carlos,Delivery & Takeout,Yes,663 Laurel St.,San Carlos,N/A,Peninsula,Noon-7 p.m. Wednesday-Saturday,650-665-9655,www.number5kitchen.com,Call ahead for curbside or storefront pick-up. Free delivery for elderly and medically fragile neighbors within 3 miles of restaurant. 40% off for first responders and frontline healthcare providers managing COVID-19.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Nute's,Pan-Asian,Bernal Heights (S.F.),Delivery & Takeout,No,903 Cortland Ave.,San Francisco,N/A,San Francisco,5-8:30 p.m. Monday-Saturday,415-260-0192,www.nutesnoodle.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Nutrition House,Chinese,Cupertino,Takeout,No,10935 North Wolfe Rd.,Cupertino,N/A,Peninsula,11 a.m.-7:30 p.m. Monday-Friday; 9 a.m.-7:30 p.m. Saturday and Sunday,408-777-8208,www.nutritioncupertino.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Nyum Bai,Cambodian,Fruitvale (Oak),Takeout,No,3340 E. 12 St. Ste. 11,Oakland,N/A,East Bay,5-8:30 p.m. Wednesday-Friday; Noon-8 p.m. Saturday and Sunday,510-500-3338,www.nyumbai.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Oak & Rye,Pizza,Los Gatos,Delivery & Takeout,No,303 North Santa Cruz Ave.,Los Gatos,N/A,South Bay,Noon-8 p.m. daily,408-395-4441,www.oakandryepizza.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Oasis Cafe,"Ethiopian, Eritrean",Western Addition (S.F.),Takeout,Yes,901 Divisadero St.,San Francisco,N/A,San Francisco,7 a.m.-10 p.m. daily,415-474-4900,www.oasiscafesf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Oasis Food Market,Middle Eastern,Pill Hill (Oak),Delivery & Takeout,No,3045 Telegraph Ave.,Oakland,N/A,East Bay,9 a.m.-9 p.m. daily,510-655-5111,www.oasisfoodmarketca.com/34323,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Ocean Ale House,"Beer, American",Westwood Park,Takeout,No,1314 Ocean Ave.,San Francisco,N/A,San Francisco,5-9 p.m. daily,415-988-7521,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
